tick,name,pid,cpu,memory_mb
1,xagt,6700,2279.703125,167.32
1,Code,9428,1015.625,527.29
1,SelfElectController,4880,799.109375,4.82
1,FortiESNAC,5324,790.265625,16.7
1,System,4,623.078125,0.04
1,svchost,3536,607,17.83
1,Code,3224,471.234375,248.08
1,FCDBLog,5240,385.421875,17.83
2,xagt,6700,2279.703125,167.32
2,Code,9428,1015.625,522.0
2,SelfElectController,4880,799.140625,4.82
2,FortiESNAC,5324,790.265625,16.7
2,System,4,623.109375,0.04
2,svchost,3536,607,17.83
2,Code,3224,471.234375,247.7
2,FCDBLog,5240,385.421875,17.83
3,xagt,6700,2279.703125,167.32
3,Code,9428,1015.625,521.76
3,SelfElectController,4880,799.140625,4.82
3,FortiESNAC,5324,790.265625,16.7
3,System,4,623.140625,0.04
3,svchost,3536,607,17.66
3,Code,3224,471.234375,247.8
3,FCDBLog,5240,385.421875,17.83
4,xagt,6700,2279.71875,167.32
4,Code,9428,1015.625,521.76
4,SelfElectController,4880,799.1875,4.82
4,FortiESNAC,5324,790.28125,16.7
4,System,4,623.15625,0.04
4,svchost,3536,607,17.3
4,Code,3224,471.234375,247.45
4,FCDBLog,5240,385.421875,17.83
5,xagt,6700,2279.71875,167.32
5,Code,9428,1015.625,521.76
5,SelfElectController,4880,799.21875,4.82
5,FortiESNAC,5324,790.28125,16.7
5,System,4,623.171875,0.04
5,svchost,3536,607,17.27
5,Code,3224,471.234375,247.32
5,FCDBLog,5240,385.421875,17.83
